mutant_id	file	apply_method	test_node	expect_clean_rc	expect_mutant_rc_nonzero	revert_assert
Tensile.TensileLogic.ValidWorkGroup.x__validateWorkGroup__mutmut_6	Tensile/TensileLogic/ValidWorkGroup.py	mutmut_apply	Tensile/Tests/unit/characterization/TensileLogic/test_mut_ValidWorkGroup__validateWorkGroup_char.py::test_rejection_prints_formatted_diagnostic	0	true	true
Tensile.TensileLogic.ValidChipId.x__chipIdDirFromPath__mutmut_12	Tensile/TensileLogic/ValidChipId.py	mutmut_apply	Tensile/Tests/unit/characterization/TensileLogic/test_mut_ValidChipId__chipIdDirFromPath_char.py::test_chip_id_dir_immediate_parent_is_inspected	0	true	true
Tensile.TensileLogic.ValidWorkGroupMappingXCC.x__report_xcc_failure__mutmut_12	Tensile/TensileLogic/ValidWorkGroupMappingXCC.py	mutmut_apply	Tensile/Tests/unit/characterization/TensileLogic/test_mut_ValidWorkGroupMappingXCC__report_xcc_failure_char.py::test_first_failure_prints_full_error_line	0	true	true
Tensile.TensileLogic.ValidWorkGroupMappingXCC.x__report_xcc_failure__mutmut_13	Tensile/TensileLogic/ValidWorkGroupMappingXCC.py	mutmut_apply	Tensile/Tests/unit/characterization/TensileLogic/test_mut_ValidWorkGroupMappingXCC__report_xcc_failure_char.py::test_first_failure_prints_full_error_line	0	true	true
Tensile.TensileLogic.ValidWorkGroupMappingXCC.x__report_xcc_failure__mutmut_14	Tensile/TensileLogic/ValidWorkGroupMappingXCC.py	mutmut_apply	Tensile/Tests/unit/characterization/TensileLogic/test_mut_ValidWorkGroupMappingXCC__report_xcc_failure_char.py::test_first_failure_message_is_not_literal_none	0	true	true
Tensile.TensileLogic.ValidWorkGroupMappingXCC.x__report_xcc_failure__mutmut_15	Tensile/TensileLogic/ValidWorkGroupMappingXCC.py	mutmut_apply	Tensile/Tests/unit/characterization/TensileLogic/test_mut_ValidWorkGroupMappingXCC__report_xcc_failure_char.py::test_present_solution_index_is_emitted	0	true	true
Tensile.TensileLogic.ValidWorkGroupMappingXCC.x__report_xcc_failure__mutmut_16	Tensile/TensileLogic/ValidWorkGroupMappingXCC.py	mutmut_apply	Tensile/Tests/unit/characterization/TensileLogic/test_mut_ValidWorkGroupMappingXCC__report_xcc_failure_char.py::test_absent_solution_index_falls_back_to_question_mark	0	true	true
Tensile.TensileLogic.ValidWorkGroupMappingXCC.x__report_xcc_failure__mutmut_17	Tensile/TensileLogic/ValidWorkGroupMappingXCC.py	mutmut_apply	Tensile/Tests/unit/characterization/TensileLogic/test_mut_ValidWorkGroupMappingXCC__report_xcc_failure_char.py::test_absent_solution_index_falls_back_to_question_mark	0	true	true
Tensile.TensileLogic.ValidWorkGroupMappingXCC.x__report_xcc_failure__mutmut_18	Tensile/TensileLogic/ValidWorkGroupMappingXCC.py	mutmut_apply	Tensile/Tests/unit/characterization/TensileLogic/test_mut_ValidWorkGroupMappingXCC__report_xcc_failure_char.py::test_absent_solution_index_falls_back_to_question_mark	0	true	true
Tensile.TensileLogic.ValidWorkGroupMappingXCC.x__report_xcc_failure__mutmut_19	Tensile/TensileLogic/ValidWorkGroupMappingXCC.py	mutmut_apply	Tensile/Tests/unit/characterization/TensileLogic/test_mut_ValidWorkGroupMappingXCC__report_xcc_failure_char.py::test_present_solution_index_is_emitted	0	true	true
